Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
505,Gary Trent Jr.,Projected,5.9,13.7,3.2,8.0,1.6,2.0,0.5,3.4,1.9,1.4,0.2,0.9,2.1,16.8,.433,.404,.822,trentga02
506,Oscar Tshiebwe,Projected,6.2,11.5,0.8,2.1,3.1,4.1,4.7,13.2,2.3,1.6,0.4,1.6,3.1,16.3,.540,.364,.757,tshieos01
507,P.J. Tucker,Projected,2.5,6.0,1.2,3.3,0.8,0.9,1.8,5.8,1.6,0.9,0.5,1.0,3.7,7.1,.424,.375,.798,tuckepj01
508,Myles Turner,Projected,7.1,14.2,2.3,6.1,3.5,4.5,1.6,8.2,1.9,0.8,2.4,2.0,3.4,19.9,.499,.382,.774,turnemy01
509,Hunter Tyson,Projected,4.8,11.7,2.1,6.5,2.0,2.6,2.0,7.0,2.4,1.0,0.6,1.5,3.7,13.7,.412,.326,.765,tysonhu01
510,Jaylon Tyson,Projected,5.5,12.2,1.7,4.8,1.8,2.3,2.6,7.5,3.7,1.1,0.4,2.0,3.6,14.6,.450,.359,.794,tysonja01
511,Stanley Umude,Projected,4.7,11.5,2.1,5.9,2.5,3.1,1.4,6.5,2.5,1.1,1.2,1.7,3.6,14.1,.409,.365,.811,umudest01
512,Jonas Valančiūnas,Projected,7.8,14.3,0.5,1.7,3.2,3.8,3.9,13.8,3.5,0.7,1.1,2.6,4.2,19.2,.543,.294,.835,valanjo01
513,Jarred Vanderbilt,Projected,4.3,8.4,0.7,2.3,1.6,2.5,3.3,10.2,2.9,1.9,0.5,1.8,3.5,10.8,.508,.317,.652,vandeja01
514,Fred VanVleet,Projected,5.3,13.5,2.8,7.9,2.3,2.8,0.5,3.9,6.4,1.5,0.6,1.6,2.5,15.8,.393,.356,.838,vanvlfr01
515,Devin Vassell,Projected,7.5,16.4,2.8,7.5,2.1,2.6,0.6,4.6,3.8,1.4,0.5,1.7,1.7,19.9,.459,.376,.798,vassede01
516,Gabe Vincent,Projected,4.2,10.3,2.4,7.0,0.7,0.9,0.6,2.6,2.6,1.2,0.3,1.2,3.4,11.4,.403,.341,.770,vincega01
517,Nikola Vučević,Projected,8.2,16.2,1.7,4.8,1.7,2.2,2.7,11.1,3.8,0.9,0.8,1.8,2.6,19.9,.505,.358,.807,vucevni01
